"Sample","Population","Population.Description","Gender"
"NA07056","CEU","Utah residents with Northern and Western European ancestry","female"
"NA07347","CEU","Utah residents with Northern and Western European ancestry","male"
"NA07357","CEU","Utah residents with Northern and Western European ancestry","male"
"NA10847","CEU","Utah residents with Northern and Western European ancestry","female"
"NA10851","CEU","Utah residents with Northern and Western European ancestry","male"
"NA11829","CEU","Utah residents with Northern and Western European ancestry","male"
"NA11830","CEU","Utah residents with Northern and Western European ancestry","female"
"NA11831","CEU","Utah residents with Northern and Western European ancestry","male"
"NA11832","CEU","Utah residents with Northern and Western European ancestry","female"
"NA11840","CEU","Utah residents with Northern and Western European ancestry","female"
"NA11843","CEU","Utah residents with Northern and Western European ancestry","male"
"NA11881","CEU","Utah residents with Northern and Western European ancestry","male"
"NA11892","CEU","Utah residents with Northern and Western European ancestry","female"
"NA11893","CEU","Utah residents with Northern and Western European ancestry","male"
"NA11894","CEU","Utah residents with Northern and Western European ancestry","female"
"NA11918","CEU","Utah residents with Northern and Western European ancestry","female"
"NA11919","CEU","Utah residents with Northern and Western European ancestry","male"
"NA11920","CEU","Utah residents with Northern and Western European ancestry","female"
"NA11930","CEU","Utah residents with Northern and Western European ancestry","male"
"NA11931","CEU","Utah residents with Northern and Western European ancestry","female"
"NA11932","CEU","Utah residents with Northern and Western European ancestry","male"
"NA11933","CEU","Utah residents with Northern and Western European ancestry","female"
"NA11992","CEU","Utah residents with Northern and Western European ancestry","male"
"NA11994","CEU","Utah residents with Northern and Western European ancestry","male"
"NA11995","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12003","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12004","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12005","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12006","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12043","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12044","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12045","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12046","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12058","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12144","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12154","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12155","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12156","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12234","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12249","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12272","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12273","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12275","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12282","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12283","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12286","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12287","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12340","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12341","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12342","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12347","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12348","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12383","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12399","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12400","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12413","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12414","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12489","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12546","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12716","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12717","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12718","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12748","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12749","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12750","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12751","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12760","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12761","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12762","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12763","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12775","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12776","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12777","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12778","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12812","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12813","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12814","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12815","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12827","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12828","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12829","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12830","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12842","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12843","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12872","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12873","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12874","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12878","CEU","Utah residents with Northern and Western European ancestry","female"
"NA12889","CEU","Utah residents with Northern and Western European ancestry","male"
"NA12890","CEU","Utah residents with Northern and Western European ancestry","female"
"NA18486","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18488","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18489","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18499","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18501","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18502","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18504","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18505","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18507","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18508","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18510","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18511","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18516","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18517","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18519","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18520","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18522","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18523","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18525","CHB","Han Chinese in Bejing, China","female"
"NA18526","CHB","Han Chinese in Bejing, China","female"
"NA18527","CHB","Han Chinese in Bejing, China","female"
"NA18528","CHB","Han Chinese in Bejing, China","female"
"NA18530","CHB","Han Chinese in Bejing, China","male"
"NA18531","CHB","Han Chinese in Bejing, China","female"
"NA18532","CHB","Han Chinese in Bejing, China","female"
"NA18533","CHB","Han Chinese in Bejing, China","female"
"NA18534","CHB","Han Chinese in Bejing, China","male"
"NA18535","CHB","Han Chinese in Bejing, China","female"
"NA18536","CHB","Han Chinese in Bejing, China","male"
"NA18537","CHB","Han Chinese in Bejing, China","female"
"NA18538","CHB","Han Chinese in Bejing, China","female"
"NA18539","CHB","Han Chinese in Bejing, China","female"
"NA18541","CHB","Han Chinese in Bejing, China","female"
"NA18542","CHB","Han Chinese in Bejing, China","female"
"NA18543","CHB","Han Chinese in Bejing, China","male"
"NA18544","CHB","Han Chinese in Bejing, China","male"
"NA18545","CHB","Han Chinese in Bejing, China","female"
"NA18546","CHB","Han Chinese in Bejing, China","male"
"NA18547","CHB","Han Chinese in Bejing, China","female"
"NA18548","CHB","Han Chinese in Bejing, China","male"
"NA18549","CHB","Han Chinese in Bejing, China","male"
"NA18550","CHB","Han Chinese in Bejing, China","female"
"NA18552","CHB","Han Chinese in Bejing, China","female"
"NA18553","CHB","Han Chinese in Bejing, China","female"
"NA18555","CHB","Han Chinese in Bejing, China","female"
"NA18557","CHB","Han Chinese in Bejing, China","male"
"NA18558","CHB","Han Chinese in Bejing, China","male"
"NA18559","CHB","Han Chinese in Bejing, China","male"
"NA18560","CHB","Han Chinese in Bejing, China","female"
"NA18561","CHB","Han Chinese in Bejing, China","male"
"NA18562","CHB","Han Chinese in Bejing, China","male"
"NA18563","CHB","Han Chinese in Bejing, China","male"
"NA18564","CHB","Han Chinese in Bejing, China","female"
"NA18565","CHB","Han Chinese in Bejing, China","female"
"NA18566","CHB","Han Chinese in Bejing, China","female"
"NA18567","CHB","Han Chinese in Bejing, China","female"
"NA18570","CHB","Han Chinese in Bejing, China","female"
"NA18571","CHB","Han Chinese in Bejing, China","female"
"NA18572","CHB","Han Chinese in Bejing, China","male"
"NA18573","CHB","Han Chinese in Bejing, China","female"
"NA18574","CHB","Han Chinese in Bejing, China","female"
"NA18576","CHB","Han Chinese in Bejing, China","female"
"NA18577","CHB","Han Chinese in Bejing, China","female"
"NA18579","CHB","Han Chinese in Bejing, China","female"
"NA18582","CHB","Han Chinese in Bejing, China","female"
"NA18591","CHB","Han Chinese in Bejing, China","female"
"NA18592","CHB","Han Chinese in Bejing, China","female"
"NA18593","CHB","Han Chinese in Bejing, China","female"
"NA18595","CHB","Han Chinese in Bejing, China","female"
"NA18596","CHB","Han Chinese in Bejing, China","female"
"NA18597","CHB","Han Chinese in Bejing, China","female"
"NA18599","CHB","Han Chinese in Bejing, China","female"
"NA18602","CHB","Han Chinese in Bejing, China","female"
"NA18603","CHB","Han Chinese in Bejing, China","male"
"NA18605","CHB","Han Chinese in Bejing, China","male"
"NA18606","CHB","Han Chinese in Bejing, China","male"
"NA18608","CHB","Han Chinese in Bejing, China","male"
"NA18609","CHB","Han Chinese in Bejing, China","male"
"NA18610","CHB","Han Chinese in Bejing, China","female"
"NA18611","CHB","Han Chinese in Bejing, China","male"
"NA18612","CHB","Han Chinese in Bejing, China","male"
"NA18613","CHB","Han Chinese in Bejing, China","male"
"NA18614","CHB","Han Chinese in Bejing, China","female"
"NA18615","CHB","Han Chinese in Bejing, China","female"
"NA18616","CHB","Han Chinese in Bejing, China","female"
"NA18617","CHB","Han Chinese in Bejing, China","female"
"NA18618","CHB","Han Chinese in Bejing, China","female"
"NA18619","CHB","Han Chinese in Bejing, China","female"
"NA18620","CHB","Han Chinese in Bejing, China","male"
"NA18621","CHB","Han Chinese in Bejing, China","male"
"NA18622","CHB","Han Chinese in Bejing, China","male"
"NA18623","CHB","Han Chinese in Bejing, China","male"
"NA18624","CHB","Han Chinese in Bejing, China","male"
"NA18625","CHB","Han Chinese in Bejing, China","female"
"NA18626","CHB","Han Chinese in Bejing, China","female"
"NA18627","CHB","Han Chinese in Bejing, China","female"
"NA18628","CHB","Han Chinese in Bejing, China","female"
"NA18629","CHB","Han Chinese in Bejing, China","male"
"NA18630","CHB","Han Chinese in Bejing, China","female"
"NA18631","CHB","Han Chinese in Bejing, China","female"
"NA18632","CHB","Han Chinese in Bejing, China","male"
"NA18633","CHB","Han Chinese in Bejing, China","male"
"NA18634","CHB","Han Chinese in Bejing, China","female"
"NA18635","CHB","Han Chinese in Bejing, China","male"
"NA18636","CHB","Han Chinese in Bejing, China","male"
"NA18637","CHB","Han Chinese in Bejing, China","male"
"NA18638","CHB","Han Chinese in Bejing, China","male"
"NA18639","CHB","Han Chinese in Bejing, China","male"
"NA18640","CHB","Han Chinese in Bejing, China","female"
"NA18641","CHB","Han Chinese in Bejing, China","female"
"NA18642","CHB","Han Chinese in Bejing, China","female"
"NA18643","CHB","Han Chinese in Bejing, China","male"
"NA18644","CHB","Han Chinese in Bejing, China","female"
"NA18645","CHB","Han Chinese in Bejing, China","male"
"NA18646","CHB","Han Chinese in Bejing, China","female"
"NA18647","CHB","Han Chinese in Bejing, China","male"
"NA18648","CHB","Han Chinese in Bejing, China","male"
"NA18740","CHB","Han Chinese in Bejing, China","male"
"NA18745","CHB","Han Chinese in Bejing, China","male"
"NA18747","CHB","Han Chinese in Bejing, China","male"
"NA18748","CHB","Han Chinese in Bejing, China","male"
"NA18749","CHB","Han Chinese in Bejing, China","male"
"NA18757","CHB","Han Chinese in Bejing, China","male"
"NA18791","CHB","Han Chinese in Bejing, China","male"
"NA18853","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18856","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18858","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18861","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18864","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18865","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18867","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18868","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18870","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18871","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18873","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18874","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18876","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18877","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18878","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18879","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18881","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18907","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18908","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18909","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18910","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18912","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18915","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18916","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18917","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18923","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18924","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18933","YRI","Yoruba in Ibadan, Nigeria","female"
"NA18934","YRI","Yoruba in Ibadan, Nigeria","male"
"NA18939","JPT","Japanese in Tokyo, Japan","female"
"NA18940","JPT","Japanese in Tokyo, Japan","male"
"NA18941","JPT","Japanese in Tokyo, Japan","female"
"NA18942","JPT","Japanese in Tokyo, Japan","female"
"NA18943","JPT","Japanese in Tokyo, Japan","male"
"NA18944","JPT","Japanese in Tokyo, Japan","male"
"NA18945","JPT","Japanese in Tokyo, Japan","male"
"NA18946","JPT","Japanese in Tokyo, Japan","female"
"NA18947","JPT","Japanese in Tokyo, Japan","female"
"NA18948","JPT","Japanese in Tokyo, Japan","male"
"NA18949","JPT","Japanese in Tokyo, Japan","female"
"NA18950","JPT","Japanese in Tokyo, Japan","female"
"NA18951","JPT","Japanese in Tokyo, Japan","female"
"NA18952","JPT","Japanese in Tokyo, Japan","male"
"NA18953","JPT","Japanese in Tokyo, Japan","male"
"NA18954","JPT","Japanese in Tokyo, Japan","female"
"NA18955","JPT","Japanese in Tokyo, Japan","male"
"NA18956","JPT","Japanese in Tokyo, Japan","female"
"NA18957","JPT","Japanese in Tokyo, Japan","female"
"NA18959","JPT","Japanese in Tokyo, Japan","male"
"NA18960","JPT","Japanese in Tokyo, Japan","male"
"NA18961","JPT","Japanese in Tokyo, Japan","male"
"NA18962","JPT","Japanese in Tokyo, Japan","male"
"NA18963","JPT","Japanese in Tokyo, Japan","female"
"NA18964","JPT","Japanese in Tokyo, Japan","female"
"NA18965","JPT","Japanese in Tokyo, Japan","male"
"NA18966","JPT","Japanese in Tokyo, Japan","male"
"NA18967","JPT","Japanese in Tokyo, Japan","male"
"NA18968","JPT","Japanese in Tokyo, Japan","female"
"NA18969","JPT","Japanese in Tokyo, Japan","female"
"NA18970","JPT","Japanese in Tokyo, Japan","male"
"NA18971","JPT","Japanese in Tokyo, Japan","male"
"NA18972","JPT","Japanese in Tokyo, Japan","female"
"NA18973","JPT","Japanese in Tokyo, Japan","female"
"NA18974","JPT","Japanese in Tokyo, Japan","male"
"NA18975","JPT","Japanese in Tokyo, Japan","female"
"NA18976","JPT","Japanese in Tokyo, Japan","female"
"NA18977","JPT","Japanese in Tokyo, Japan","male"
"NA18978","JPT","Japanese in Tokyo, Japan","female"
"NA18979","JPT","Japanese in Tokyo, Japan","female"
"NA18980","JPT","Japanese in Tokyo, Japan","female"
"NA18981","JPT","Japanese in Tokyo, Japan","female"
"NA18982","JPT","Japanese in Tokyo, Japan","male"
"NA18983","JPT","Japanese in Tokyo, Japan","male"
"NA18984","JPT","Japanese in Tokyo, Japan","male"
"NA18985","JPT","Japanese in Tokyo, Japan","male"
"NA18986","JPT","Japanese in Tokyo, Japan","male"
"NA18987","JPT","Japanese in Tokyo, Japan","female"
"NA18988","JPT","Japanese in Tokyo, Japan","male"
"NA18989","JPT","Japanese in Tokyo, Japan","male"
"NA18990","JPT","Japanese in Tokyo, Japan","male"
"NA18991","JPT","Japanese in Tokyo, Japan","female"
"NA18992","JPT","Japanese in Tokyo, Japan","female"
"NA18993","JPT","Japanese in Tokyo, Japan","female"
"NA18994","JPT","Japanese in Tokyo, Japan","male"
"NA18995","JPT","Japanese in Tokyo, Japan","male"
"NA18997","JPT","Japanese in Tokyo, Japan","female"
"NA18998","JPT","Japanese in Tokyo, Japan","female"
"NA18999","JPT","Japanese in Tokyo, Japan","female"
"NA19000","JPT","Japanese in Tokyo, Japan","male"
"NA19001","JPT","Japanese in Tokyo, Japan","female"
"NA19002","JPT","Japanese in Tokyo, Japan","female"
"NA19003","JPT","Japanese in Tokyo, Japan","female"
"NA19004","JPT","Japanese in Tokyo, Japan","male"
"NA19005","JPT","Japanese in Tokyo, Japan","male"
"NA19006","JPT","Japanese in Tokyo, Japan","male"
"NA19007","JPT","Japanese in Tokyo, Japan","male"
"NA19009","JPT","Japanese in Tokyo, Japan","male"
"NA19010","JPT","Japanese in Tokyo, Japan","female"
"NA19011","JPT","Japanese in Tokyo, Japan","female"
"NA19012","JPT","Japanese in Tokyo, Japan","male"
"NA19017","LWK","Luhya in Webuye, Kenya","female"
"NA19019","LWK","Luhya in Webuye, Kenya","female"
"NA19020","LWK","Luhya in Webuye, Kenya","male"
"NA19023","LWK","Luhya in Webuye, Kenya","female"
"NA19024","LWK","Luhya in Webuye, Kenya","female"
"NA19025","LWK","Luhya in Webuye, Kenya","male"
"NA19026","LWK","Luhya in Webuye, Kenya","male"
"NA19027","LWK","Luhya in Webuye, Kenya","male"
"NA19028","LWK","Luhya in Webuye, Kenya","male"
"NA19030","LWK","Luhya in Webuye, Kenya","female"
"NA19031","LWK","Luhya in Webuye, Kenya","male"
"NA19035","LWK","Luhya in Webuye, Kenya","male"
"NA19036","LWK","Luhya in Webuye, Kenya","female"
"NA19038","LWK","Luhya in Webuye, Kenya","female"
"NA19041","LWK","Luhya in Webuye, Kenya","male"
"NA19042","LWK","Luhya in Webuye, Kenya","female"
"NA19043","LWK","Luhya in Webuye, Kenya","male"
"NA19044","LWK","Luhya in Webuye, Kenya","male"
"NA19054","JPT","Japanese in Tokyo, Japan","female"
"NA19055","JPT","Japanese in Tokyo, Japan","male"
"NA19056","JPT","Japanese in Tokyo, Japan","male"
"NA19057","JPT","Japanese in Tokyo, Japan","female"
"NA19058","JPT","Japanese in Tokyo, Japan","male"
"NA19059","JPT","Japanese in Tokyo, Japan","female"
"NA19060","JPT","Japanese in Tokyo, Japan","male"
"NA19062","JPT","Japanese in Tokyo, Japan","male"
"NA19063","JPT","Japanese in Tokyo, Japan","male"
"NA19064","JPT","Japanese in Tokyo, Japan","female"
"NA19065","JPT","Japanese in Tokyo, Japan","female"
"NA19066","JPT","Japanese in Tokyo, Japan","male"
"NA19067","JPT","Japanese in Tokyo, Japan","male"
"NA19068","JPT","Japanese in Tokyo, Japan","male"
"NA19070","JPT","Japanese in Tokyo, Japan","male"
"NA19072","JPT","Japanese in Tokyo, Japan","male"
"NA19074","JPT","Japanese in Tokyo, Japan","female"
"NA19075","JPT","Japanese in Tokyo, Japan","male"
"NA19076","JPT","Japanese in Tokyo, Japan","male"
"NA19077","JPT","Japanese in Tokyo, Japan","female"
"NA19078","JPT","Japanese in Tokyo, Japan","female"
"NA19079","JPT","Japanese in Tokyo, Japan","male"
"NA19080","JPT","Japanese in Tokyo, Japan","female"
"NA19081","JPT","Japanese in Tokyo, Japan","female"
"NA19082","JPT","Japanese in Tokyo, Japan","male"
"NA19083","JPT","Japanese in Tokyo, Japan","male"
"NA19084","JPT","Japanese in Tokyo, Japan","female"
"NA19085","JPT","Japanese in Tokyo, Japan","male"
"NA19086","JPT","Japanese in Tokyo, Japan","male"
"NA19087","JPT","Japanese in Tokyo, Japan","female"
"NA19088","JPT","Japanese in Tokyo, Japan","male"
"NA19089","JPT","Japanese in Tokyo, Japan","male"
"NA19090","JPT","Japanese in Tokyo, Japan","female"
"NA19091","JPT","Japanese in Tokyo, Japan","male"
"NA19092","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19093","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19095","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19096","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19098","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19099","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19102","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19107","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19108","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19113","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19114","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19116","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19117","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19118","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19119","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19121","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19129","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19130","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19131","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19137","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19138","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19141","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19143","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19144","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19146","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19147","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19149","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19152","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19153","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19159","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19160","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19171","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19172","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19175","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19184","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19185","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19189","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19190","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19197","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19198","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19200","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19201","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19204","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19206","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19207","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19209","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19210","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19213","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19214","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19222","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19223","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19225","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19235","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19236","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19238","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19239","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19247","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19248","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19256","YRI","Yoruba in Ibadan, Nigeria","male"
"NA19257","YRI","Yoruba in Ibadan, Nigeria","female"
"NA19307","LWK","Luhya in Webuye, Kenya","male"
"NA19308","LWK","Luhya in Webuye, Kenya","male"
"NA19309","LWK","Luhya in Webuye, Kenya","male"
"NA19310","LWK","Luhya in Webuye, Kenya","female"
"NA19312","LWK","Luhya in Webuye, Kenya","male"
"NA19314","LWK","Luhya in Webuye, Kenya","female"
"NA19315","LWK","Luhya in Webuye, Kenya","female"
"NA19316","LWK","Luhya in Webuye, Kenya","female"
"NA19317","LWK","Luhya in Webuye, Kenya","male"
"NA19318","LWK","Luhya in Webuye, Kenya","male"
"NA19319","LWK","Luhya in Webuye, Kenya","male"
"NA19320","LWK","Luhya in Webuye, Kenya","female"
"NA19321","LWK","Luhya in Webuye, Kenya","female"
"NA19323","LWK","Luhya in Webuye, Kenya","female"
"NA19324","LWK","Luhya in Webuye, Kenya","female"
"NA19327","LWK","Luhya in Webuye, Kenya","female"
"NA19328","LWK","Luhya in Webuye, Kenya","female"
"NA19331","LWK","Luhya in Webuye, Kenya","male"
"NA19332","LWK","Luhya in Webuye, Kenya","female"
"NA19338","LWK","Luhya in Webuye, Kenya","female"
"NA19346","LWK","Luhya in Webuye, Kenya","male"
"NA19347","LWK","Luhya in Webuye, Kenya","male"
"NA19350","LWK","Luhya in Webuye, Kenya","male"
"NA19351","LWK","Luhya in Webuye, Kenya","female"
"NA19355","LWK","Luhya in Webuye, Kenya","female"
"NA19359","LWK","Luhya in Webuye, Kenya","male"
"NA19360","LWK","Luhya in Webuye, Kenya","male"
"NA19371","LWK","Luhya in Webuye, Kenya","male"
"NA19372","LWK","Luhya in Webuye, Kenya","male"
"NA19374","LWK","Luhya in Webuye, Kenya","male"
"NA19375","LWK","Luhya in Webuye, Kenya","male"
"NA19376","LWK","Luhya in Webuye, Kenya","male"
"NA19377","LWK","Luhya in Webuye, Kenya","female"
"NA19378","LWK","Luhya in Webuye, Kenya","female"
"NA19379","LWK","Luhya in Webuye, Kenya","female"
"NA19380","LWK","Luhya in Webuye, Kenya","male"
"NA19383","LWK","Luhya in Webuye, Kenya","male"
"NA19385","LWK","Luhya in Webuye, Kenya","male"
"NA19390","LWK","Luhya in Webuye, Kenya","female"
"NA19391","LWK","Luhya in Webuye, Kenya","female"
"NA19393","LWK","Luhya in Webuye, Kenya","male"
"NA19394","LWK","Luhya in Webuye, Kenya","male"
"NA19395","LWK","Luhya in Webuye, Kenya","female"
"NA19397","LWK","Luhya in Webuye, Kenya","male"
"NA19398","LWK","Luhya in Webuye, Kenya","female"
"NA19399","LWK","Luhya in Webuye, Kenya","female"
"NA19401","LWK","Luhya in Webuye, Kenya","female"
"NA19403","LWK","Luhya in Webuye, Kenya","female"
"NA19404","LWK","Luhya in Webuye, Kenya","female"
"NA19428","LWK","Luhya in Webuye, Kenya","male"
"NA19429","LWK","Luhya in Webuye, Kenya","male"
"NA19430","LWK","Luhya in Webuye, Kenya","male"
"NA19431","LWK","Luhya in Webuye, Kenya","female"
"NA19434","LWK","Luhya in Webuye, Kenya","female"
"NA19435","LWK","Luhya in Webuye, Kenya","female"
"NA19436","LWK","Luhya in Webuye, Kenya","female"
